mangaid,plateifu,p3d_age_lw,p3d_age_mw,p3d_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
1-48157,10001-12701,0.424491161781977,4.346691303246923,9.993362426757812,5.1332926750183105,0.11904761904761905,0.20833333333333331,0.0,4.6535119047619045
1-48188,10001-12702,1.0822711710172044,7.496357212251689,10.108312606811523,4.653724670410156,0.3103448275862069,0.3380281690140845,0.0,5.1568139873725105
1-55648,10001-12703,1.4031412821060056,8.127124352450227,10.434694290161133,4.587003231048584,0.0,0.0,0.0,4.63
1-55616,10001-12704,1.4427374889102027,6.415252923646909,9.903014183044434,4.569262504577637,0.0,1.0,0.0,2.36
1-55784,10001-12705,0.6932287716241575,5.2126797340605355,10.444530487060547,3.6418819427490234,0.02631578947368421,0.2891566265060241,0.05555555555555555,3.6177957443810334
1-55567,10001-1901,3.278416302341549,8.636228401688857,9.606731414794922,0.5191036462783813,0.8888888888888888,0.1111111111111111,0.0,8.084444444444443
1-48201,10001-1902,7.5198183821531766,9.068346671805,10.215463638305664,-1.5522819757461548,0.0,0.4090909090909091,0.375,0.5588636363636361
1-48111,10001-3701,6.663506292875315,8.55619237309336,10.020258903503418,-2.199845314025879,0.0,0.0,0.2,2.9539999999999997
1-48136,10001-3702,2.165746038548103,7.464358945582812,10.11097240447998,-2.314365863800049,0.0,0.5,0.0,3.495
1-55612,10001-3703,1.1440398756531398,7.902199567833354,9.989705085754395,0.8005840182304382,0.012025518418266731,0.2564102564102564,0.029913001257027037,3.8474241792190034
1-48223,10001-3704,4.167768274613702,7.403892524892778,10.419900894165039,-2.582340717315674,0.0,0.0,0.5714285714285714,-0.15857142857142925
1-55683,10001-6101,7.183208522437149,9.044799912782679,11.174979209899902,-2.394747257232666,0.0,1.0,0.0,2.36
1-48116,10001-6102,2.4203423532862374,8.139376266667186,10.597953796386719,3.4473977088928223,0.0,0.3695652173913043,0.0,3.791086956521739
1-48208,10001-6103,6.932850979887362,8.466573289342438,10.592374801635742,-0.7974598407745361,0.0,0.3575003575003575,0.125,2.770974188474188
1-55529,10001-6104,7.074242562869968,8.998047729952878,11.164641380310059,-2.3597941398620605,0.0,1.0,0.0,2.36
1-48189,10001-9101,0.3816707522911162,3.558864826998086,10.014997482299805,5.825692176818848,0.4791666666666667,0.08,0.0,6.446524999999999
