mangaid,dl_ttype,ff_age_lw,ff_age_mw,ff_mass,gz_p_dominant,gz_p_nobulge,gz_p_obvious,gz_ttype,p3d_age_lw,p3d_age_mw,p3d_mass,plateifu,z
1-109056,-0.2952358722686768,5.627043351625165,11.522521251248069,10.08725643157959,0.0,0.0,0.5331047357331643,3.419852249885717,2.6279418163399693,9.136265246656887,10.594612121582033,8077-6103,0.0473019
1-109073,5.497689247131348,4.887989971879051,9.856049783848164,9.750732421875,0.0,0.58,0.0,7.0486,1.0229744978186943,5.749930934453528,10.148505210876463,8078-12704,0.0435882
1-109081,3.816341400146485,4.617247059466747,7.556923271365185,10.593996047973633,0.13304064391671655,0.0,0.5351743330389874,2.3002736679794134,2.614249022757773,7.783762482591145,10.86678695678711,8077-12705,0.0438592
1-109112,-2.1662187576293945,7.28309662836074,8.775743387928651,9.98039722442627,0.25,0.0,0.7419354838709677,0.8508064516129026,4.961248411936509,7.108516634984088,10.267339706420898,8078-1901,0.0249702
1-109152,-2.0468225479125977,,,10.895901679992676,0.3333333333333333,0.0967741935483871,0.5085642214898898,1.0857742709813905,6.900711806154134,9.57090965157535,11.038168907165527,8154-12702,0.0281736
1-109167,-2.443037509918213,8.725358145157474,10.337437098055043,9.991758346557617,0.5833333333333334,0.0,0.5,-1.3933333333333344,7.684326548056626,10.11193280734268,10.305709838867188,8078-1902,0.0246344
1-109234,-2.0705456733703613,6.70007135937406,8.892387083706419,9.663333892822266,0.0,0.0,0.5806451612903226,3.311935483870968,5.1091455398242,8.245008374085787,10.041526794433594,9193-1901,0.0409309
1-109244,4.287932872772217,,,10.244551658630373,0.0,0.021739130434782608,0.33962264150943394,3.949708777686628,2.898660175215986,8.765672952105005,10.718453407287598,8080-12702,0.0267911
1-109250,3.823291778564453,3.761436561685899,5.3940111276877705,8.965920448303223,0.0,0.07639530281039715,0.0,4.948568412719356,0.21638112938952075,4.4722104498472,9.735543251037598,8080-1902,0.0383731
1-109270,-0.4057247638702393,5.254076792949227,9.35697560250009,9.148778915405273,0.0,0.2842105263157895,0.022388059701492536,5.7643369992144535,1.4984721967030856,6.730595246091753,9.577422142028807,9193-12703,0.0252266
1-109284,0.5211126804351807,5.440656587701354,10.245090735075637,10.555753707885742,0.22916666666666666,0.04838709677419355,0.42105263157894735,1.9555680531975104,1.5652643987557022,7.724676936863074,10.973067283630373,8080-6103,0.0686101
1-109308,1.9034496545791624,5.440656587701354,12.763920536130009,11.03383731842041,0.0,0.0,0.3507085791905285,3.8338915252375,3.3471955950026917,11.850356685300753,11.415604591369627,8082-12704,0.131681
1-109356,3.42579984664917,3.987847347275016,9.428083246041618,9.46841526031494,0.0,0.5384615384615384,0.0,6.875384615384616,0.865757075383465,8.385236571888766,9.976567268371582,8081-3703,0.0241782
1-109378,3.666731834411621,4.74098163251994,8.659161908238692,10.501106262207033,0.028571428571428567,0.09090909090909093,0.4848484848484849,3.669056277056277,1.2285036455791198,6.48143629861324,10.870706558227539,8084-12703,0.0391104
1-109392,-2.2886219024658203,3.481566462132333,4.78762679927455,10.883554458618164,0.25,0.2,0.6,2.0069999999999997,7.913712699693793,9.66969103244783,11.068792343139648,8085-6101,0.0514803
1-109394,4.926267623901367,4.974206592780638,7.632971632221983,10.299849510192873,0.0,0.0,0.4,3.722,1.1585945070264645,6.722574584691353,10.741320610046387,8082-9102,0.0361073
1-109419,-2.515994071960449,4.4354303204702505,7.487642897892528,11.182899475097656,0.0,0.0,0.675,3.09775,6.142448475890678,8.212032234855535,11.15593433380127,8085-3702,0.103253
1-109428,-2.329193592071533,7.659191532183305,8.494160854845592,10.10521411895752,0.375,0.1111111111111111,0.3333333333333333,1.194166666666666,7.488492804240165,9.19800452252637,10.407414436340332,8155-3704,0.0476594
1-109493,-2.289967536926269,1.8489914438338104,2.875181409778867,11.109649658203123,0.0,1.0,0.375,7.94875,5.342612048528428,8.014955217954112,11.335542678833008,8156-9101,0.10932
1-109521,-2.611137866973877,,,10.7173490524292,0.0,0.0,0.4880397301341574,3.5221498125954627,7.297361404985894,9.05348360797511,10.963512420654297,8156-6101,0.0490484
1-113208,-1.8657273054122925,6.5601367028811195,8.332646986900366,10.648173332214355,0.875,0.0,0.125,-2.9862500000000014,4.7599227765189465,6.598549379968906,10.854971885681152,8618-3701,0.0699044
1-113219,3.8500289916992183,3.9480167092009695,4.601046669427929,9.38874053955078,,,,,0.4767684773130802,1.7640987955220049,9.662711143493652,7815-9102,0.0408897
1-113242,-2.6246356964111333,6.513491716727835,6.886651496017264,10.883637428283693,,,,,8.766269681613435,9.949315379848967,11.001852035522461,7972-6101,0.0437197
1-113265,4.1607747077941895,2.362086426530225,3.621501536389848,9.940878868103027,,,,,1.4984392918696816,8.638788979855681,10.356717109680176,7972-12703,0.0437398
1-113273,,10.40832187971344,10.87457365306092,10.447222709655762,,,,,0.24776563024483544,7.382997596683785,11.880516052246096,7972-1902,0.108143
1-113292,-2.346745491027832,2.5486664503892307,2.875181409778867,10.907048225402832,,,,,2.55530677585496,5.200046565300079,11.127330780029297,7972-9101,0.102271
1-113315,-1.0462304353713991,4.111207956993817,4.973988138754536,10.51852798461914,,,,,6.072161517402267,8.792759115325191,10.777884483337402,7972-3702,0.0622162
1-113322,3.366332054138184,6.767633410017824,9.681307602121915,9.988597869873047,,,,,,,,7972-12701,0.0431628
1-113343,-1.8381985425949097,8.799096889247851,9.405481693788364,10.040487289428713,,,,,8.393784686708068,9.726167441959602,10.27103042602539,7972-1901,0.0433949
1-113346,1.5252599716186523,2.7352464305625177,3.5748563730991503,9.860262870788574,,,,,,,,7972-12702,0.0431389
1-113368,-2.1516404151916504,4.352261973682231,7.162726023492109,10.729863166809082,,,,,7.387003156668434,10.720293615323634,11.053030014038086,7972-6103,0.0431534
1-113375,,5.673881514840955,9.265546142266613,9.679288864135742,,,,,0.9896605517395656,4.205396543676337,10.095697402954102,7972-12704,0.028215
1-113379,,2.9376594943359353,4.425856063808523,8.596665382385254,,,,,0.40500466160340615,2.540787017812073,9.151406288146973,7972-3701,0.0171611
1-113403,0.5,,,10.21805477142334,,,,,1.7710154547533634,3.743743482589537,10.560359954833984,7815-12703,0.0715126
1-113404,2.9472546577453613,2.7352464305625177,4.927561792600859,9.630515098571776,,,,,0.47721677983293,5.209521427373336,10.141128540039062,7972-6104,0.0422713
1-113405,3.304285049438477,5.487301742510544,6.140331177395929,9.790450096130373,,,,,2.4711197469131347,7.191115507027577,10.130709648132324,7972-3704,0.0424723
1-113418,3.8645505905151367,4.507756687842312,7.371961126027203,10.448369026184082,,,,,2.6271224989813255,9.039954974796077,10.872027397155762,7815-12704,0.0430806
1-113468,1.2175076007843018,,,10.857688903808594,,,,,2.3805772639781897,6.412886683959474,10.940275192260742,7815-3701,0.136342
1-113469,,2.8121657822244224,4.902396891570882,9.213212013244627,,,,,0.5343433346657849,3.3614927054369783,9.647329330444336,7972-12705,0.0394617
1-113476,-2.2558422088623047,9.918576591603848,10.94476660660481,10.97202968597412,0.22448979591836726,0.0,0.6897146305716011,1.1831232988065474,9.04958783079224,10.30783317738165,11.171998023986816,8618-12705,0.118158
1-113518,4.464414119720459,4.226145407553247,5.7113516563253395,9.572702407836914,,,,,0.9720658677478732,2.7833368726059144,10.10760498046875,7972-6102,0.0299975
1-113520,-2.640220642089844,7.444053446078208,8.121907046498258,9.4415864944458,,,,,4.053534393745397,6.166301524695539,9.826803207397461,7815-1901,0.0167652
1-113521,2.749353647232056,3.6672088518461137,6.873774445835613,10.783907890319824,,,,,0.6808025346004538,2.720367219586398,11.014400482177734,7815-6103,0.135043
1-113525,,4.12168345133487,4.4992148268574415,9.302970886230467,0.0,0.060606060606060615,0.05263157894736842,4.763253588516746,2.9723222592537337,8.78982476432699,9.690118789672852,8618-6103,0.0169457
1-113539,5.240589618682861,,,9.473892211914062,0.0,0.0,0.0,4.63,2.397790785598157,5.6897676040497736,9.775559425354004,8618-12701,0.0177002
1-113540,1.8,6.280266071331915,10.128452897726484,10.007034301757812,,,,,1.2368189681959123,9.747505948927712,10.465009689331056,7815-3702,0.0293823
1-113551,-2.623464584350586,5.0674964510901805,7.21316695898937,10.43934726715088,,,,,4.7715495608070615,7.41410979825866,10.741989135742188,7972-3703,0.0588507
1-113567,,,,8.761006355285645,0.06918081243569871,0.6410256410256411,0.0,6.723341714865768,0.3172181530776993,1.3754140500892056,9.051045417785645,8618-1902,0.0167432
1-113585,-1.5521501302719116,8.120031241161255,10.851077614565678,10.868646621704102,,,,,6.1143225145660685,8.172940009645965,11.011924743652344,7815-3703,0.070276
1-113587,3.6123313903808594,5.114141250660052,10.0585105145915,10.436422348022461,,,,,0.5184756388604188,2.4268618327420683,10.894588470458984,8618-12704,0.0704926
1-113647,-2.36075496673584,3.7334711412127817,5.766921088922177,10.729388236999512,0.42105263157894735,0.0,0.4166666666666667,0.1557456140350877,7.249493978766114,10.480889444773123,11.065946578979492,8618-6104,0.0738563
1-113651,-1.217077374458313,6.000396423997784,9.545415993416736,10.471128463745117,,,,,4.157064967713992,9.068028064122933,10.79518985748291,7815-3704,0.0708847
1-113654,2.7487034797668457,4.903740040854418,8.868296684133337,9.959258079528807,0.0,0.09523809523809523,0.07142857142857142,4.864999999999998,1.1420067895324657,7.89902468574766,10.453940391540527,8618-9102,0.0430694
1-113663,1.2298835515975952,2.7818915749665383,2.921826561254331,9.217788696289062,0.0,1.0,0.0,8.8,0.8319922590479176,8.730115950559089,9.915847778320312,8618-3703,0.0316328
1-113668,-2.0488815307617188,6.63668781635852,10.759413231524578,11.10423755645752,,,,,5.142169104488397,7.6284243714024935,11.117088317871094,7815-6102,0.129233
1-113672,-2.208350658416748,3.0147555267154496,3.644749463808072,10.590309143066406,0.0,0.0,0.0,4.63,1.44340294978517,5.989722365311206,10.9363431930542,8618-3704,0.0702278
